StartTime,EndTime,HolepunchTime
0 days 02:21:29.127412273,02:21:29.632082779,504.670506
0 days 02:23:40.529934519,02:23:41.033517144,503.582625
0 days 02:25:51.722846979,02:25:52.227021655,504.174676
0 days 02:28:03.650687611,02:28:04.15530866,504.621049
0 days 02:30:15.285908904,02:30:15.788219558,502.310654
0 days 02:32:26.474864031,02:32:26.977999457,503.135426
0 days 02:34:38.460664134,02:34:38.964392171,503.728037
0 days 02:36:50.194611364,02:36:50.697602808,502.991444
0 days 02:39:02.125429280,02:39:02.632279533,506.850253
0 days 02:41:13.603898011,02:41:14.107064702,503.166691
0 days 02:43:25.247180311,02:43:25.751171354,503.991043
0 days 02:45:36.880197966,02:45:37.385349213,505.151247
0 days 02:47:49.303259609,02:47:49.840512382,537.252773
0 days 02:49:59.745837137,02:50:00.249037876,503.200739
0 days 02:52:11.728003965,02:52:12.23274763,504.743665
0 days 02:54:24.123612582,02:54:24.626160686,502.548104
0 days 02:56:35.762866890,02:56:36.264812576,501.945686
0 days 02:58:46.822360980,02:58:47.328513489,506.152509
0 days 03:00:58.604355564,03:00:59.108843387,504.487823
0 days 03:03:10.232208772,03:03:10.735292789,503.084017
0 days 03:05:21.854837645,03:05:22.362230209,507.392564
0 days 03:07:34.155885834,03:07:34.660577959,504.692125
0 days 03:09:45.488026561,03:09:45.992330103,504.303542
0 days 03:11:56.575070108,03:11:57.081065564,505.995456
0 days 03:14:08.983543760,03:14:09.486230543,502.686783
0 days 03:16:20.080822157,03:16:20.584850615,504.028458
0 days 03:18:31.866799061,03:18:32.372555665,505.756604
0 days 03:20:43.874041355,03:20:44.378190387,504.149032
0 days 03:22:54.860525308,03:22:55.366425609,505.900301
0 days 03:25:06.895577956,03:25:07.400911988,505.334032
0 days 03:27:18.661733873,03:27:19.165592405,503.858532
0 days 03:29:30.230627883,03:29:30.735619123,504.99124
0 days 03:31:41.888537357,03:31:42.391840031,503.302674
0 days 03:33:57.353281653,03:33:57.863597063,510.31541
0 days 03:36:04.139340210,03:36:04.642110877,502.770667
0 days 03:38:17.006451695,03:38:17.512350855,505.89916
0 days 03:40:28.949354278,03:40:29.453643391,504.289113
0 days 03:42:39.542494792,03:42:40.04661803,504.123238
0 days 03:44:52.178057592,03:44:52.685643964,507.586372
0 days 03:47:04.120725103,03:47:04.624782558,504.057455
0 days 03:49:15.515868904,03:49:16.022975244,507.10634
0 days 03:51:27.193096104,03:51:27.696528582,503.432478
0 days 03:53:39.284851795,03:53:39.787796645,502.94485
0 days 03:55:51.292377445,03:55:51.796858797,504.481352
0 days 03:58:03.143265478,03:58:03.652013532,508.748054
0 days 04:00:14.055659400,04:00:14.560365363,504.705963
0 days 04:02:27.002989848,04:02:27.512248523,509.258675
0 days 04:04:38.239215758,04:04:38.743063057,503.847299
0 days 04:06:49.906576441,04:06:50.411135113,504.558672
0 days 04:09:01.792731385,04:09:02.295540205,502.80882
0 days 04:11:14.248943804,04:11:14.757236153,508.292349
0 days 04:13:25.895412934,04:13:26.40201196,506.599026
0 days 04:15:38.087271817,04:15:38.591593388,504.321571
0 days 04:17:50.155469573,04:17:50.68762701,532.157437
0 days 04:20:01.666491361,04:20:02.177407505,510.916144
0 days 04:22:13.350946981,04:22:13.854885039,503.938058
0 days 04:24:25.422881836,04:24:25.92679025,503.908414
0 days 04:26:36.261683623,04:26:36.765057828,503.374205
0 days 04:28:48.919933406,04:28:49.430595592,510.662186
0 days 04:31:00.524430424,04:31:01.026688911,502.258487
0 days 04:33:12.086149871,04:33:12.591396512,505.246641
0 days 04:35:24.005234232,04:35:24.510390711,505.156479
0 days 04:37:36.075280035,04:37:36.581102111,505.822076
0 days 04:39:47.491320250,04:39:47.996405567,505.085317
