StartTime,EndTime,HolepunchTime
0 days 05:59:59.824074071,06:00:00.084949966,260.875895
0 days 06:02:11.245313295,06:02:11.500188185,254.87489
0 days 06:04:22.861446534,06:04:23.115657784,254.21125
0 days 06:06:34.310579451,06:06:34.566415268,255.835817
0 days 06:08:45.459758670,06:08:45.714648579,254.889909
0 days 06:10:59.312783328,06:10:59.566817749,254.034421
0 days 06:13:09.409644971,06:13:09.667001721,257.35675
0 days 06:15:20.932760733,06:15:21.187588974,254.828241
0 days 06:17:33.247024868,06:17:33.504717423,257.692555
0 days 06:19:44.792686900,06:19:45.047351166,254.664266
0 days 06:21:58.468622889,06:21:58.722956029,254.33314
0 days 06:24:08.341115093,06:24:08.598000206,256.885113
0 days 06:26:20.896061012,06:26:21.151529768,255.468756
0 days 06:28:32.375437620,06:28:32.631530118,256.092498
0 days 06:30:44.216870294,06:30:44.490267261,273.396967
0 days 06:32:56.194725854,06:32:56.448500464,253.77461
0 days 06:35:07.859023626,06:35:08.115190481,256.166855
0 days 06:37:19.262020144,06:37:19.517025228,255.005084
0 days 06:39:31.236609587,06:39:31.491860999,255.251412
0 days 06:41:43.050242293,06:41:43.304152276,253.909983
0 days 06:43:54.987275563,06:43:55.241443142,254.167579
0 days 06:46:07.657839573,06:46:07.910196345,252.356772
0 days 06:48:18.481919913,06:48:18.738494482,256.574569
0 days 06:50:30.369631880,06:50:30.625921402,256.289522
0 days 06:52:42.359905732,06:52:42.620000552,260.09482
0 days 06:54:54.353358269,06:54:54.608068753,254.710484
0 days 06:57:05.807455817,06:57:06.066220184,258.764367
0 days 06:59:17.265069974,06:59:17.520407383,255.337409
0 days 07:01:28.931007817,07:01:29.187346007,256.33819
0 days 07:03:41.253225719,07:03:41.508344291,255.118572
0 days 07:05:52.453384163,07:05:52.708629755,255.245592
0 days 07:08:03.797187278,07:08:04.051223737,254.036459
0 days 07:10:16.217746141,07:10:16.472339533,254.593392
0 days 07:12:27.724469088,07:12:27.978218177,253.749089
0 days 07:14:39.534794513,07:14:39.789294893,254.50038
0 days 07:16:51.073671013,07:16:51.328767122,255.096109
0 days 07:19:02.649709263,07:19:02.905959608,256.250345
0 days 07:21:16.338709040,07:21:16.595840868,257.131828
0 days 07:23:28.505730932,07:23:28.759007975,253.277043
0 days 07:25:40.369748172,07:25:40.6241822,254.434028
0 days 07:27:52.865531279,07:27:53.119202017,253.670738
0 days 07:30:04.503296075,07:30:04.757885004,254.588929
0 days 07:32:15.592848542,07:32:15.848225523,255.376981
0 days 07:34:28.143149587,07:34:28.39810109,254.951503
0 days 07:36:39.429063115,07:36:39.68290182,253.838705
0 days 07:38:52.579641521,07:38:52.856120345,276.478824
0 days 07:41:04.689837584,07:41:04.944420209,254.582625
0 days 07:43:15.874781724,07:43:16.129681064,254.89934
0 days 07:45:27.904893490,07:45:28.159772987,254.879497
0 days 07:47:39.953361517,07:47:40.218509629,265.148112
0 days 07:49:51.425235330,07:49:51.680462586,255.227256
0 days 07:52:03.286921157,07:52:03.542015725,255.094568
0 days 07:54:14.985726044,07:54:15.246637874,260.91183
0 days 07:56:26.241632975,07:56:26.498040896,256.407921
0 days 07:58:38.196219085,07:58:38.450238677,254.019592
0 days 08:00:49.442946609,08:00:49.700971247,258.024638
0 days 08:03:01.631761277,08:03:01.884766612,253.005335
