StartTime,EndTime,HolepunchTime
0 days 06:09:59.046653600,06:09:59.101922783,55.269183
0 days 06:12:08.998453512,06:12:09.052326581,53.873069
0 days 06:14:22.801690823,06:14:22.853742776,52.051953
0 days 06:16:33.296946195,06:16:33.350758713,53.812518
0 days 06:18:44.973364337,06:18:45.025732207,52.36787
0 days 06:20:56.485397892,06:20:56.541921564,56.523672
0 days 06:23:09.580988260,06:23:09.633650108,52.661848
0 days 06:25:20.508885845,06:25:20.562681094,53.795249
0 days 06:27:33.656224133,06:27:34.733670013,1077.44588
0 days 06:29:45.129770707,06:29:45.181689565,51.918858
0 days 06:31:56.869751426,06:31:56.921790018,52.038592
0 days 06:34:08.630135710,06:34:08.682171166,52.035456
0 days 06:36:19.835346815,06:36:19.887847957,52.501142
0 days 06:38:31.300691279,06:38:31.354665014,53.973735
0 days 06:40:43.297563363,06:40:43.352404399,54.841036
0 days 06:42:54.581027451,06:42:54.634916625,53.889174
0 days 06:45:07.012946220,06:45:07.065994693,53.048473
0 days 06:47:18.171231145,06:47:18.223803259,52.572114
0 days 06:49:30.286822031,06:49:30.341160203,54.338172
0 days 06:51:41.935444500,06:51:41.990911949,55.467449
0 days 06:53:54.262470099,06:53:54.315115197,52.645098
0 days 06:56:05.399573582,06:56:05.454278111,54.704529
0 days 06:58:17.502607010,06:58:17.557721482,55.114472
0 days 07:00:28.665301551,07:00:28.720749438,55.447887
0 days 07:02:40.778628868,07:02:40.833887715,55.258847
0 days 07:04:52.756502436,07:04:52.813311124,56.808688
0 days 07:07:04.524659799,07:07:04.576743339,52.08354
0 days 07:09:17.084794633,07:09:17.141915041,57.120408
0 days 07:11:29.354803168,07:11:29.411788708,56.98554
0 days 07:13:40.433785930,07:13:40.490452683,56.666753
0 days 07:15:51.735807446,07:15:51.791491296,55.68385
0 days 07:18:03.599790339,07:18:03.655433361,55.643022
0 days 07:20:14.726812349,07:20:14.781517769,54.70542
0 days 07:22:27.303603045,07:22:27.356208782,52.605737
0 days 07:24:38.345297188,07:24:38.399565177,54.267989
0 days 07:26:50.200640553,07:26:50.256751373,56.11082
0 days 07:29:01.995139398,07:29:02.048623637,53.484239
0 days 07:31:13.687627388,07:31:13.744908638,57.28125
0 days 07:33:27.626002526,07:33:27.679473889,53.471363
0 days 07:35:37.527988054,07:35:37.582555071,54.567017
0 days 07:37:48.593428225,07:37:48.649718736,56.290511
0 days 07:40:00.689840893,07:40:00.744212461,54.371568
0 days 07:42:12.260948407,07:42:12.315828127,54.87972
0 days 07:44:25.300993129,07:44:25.355203511,54.210382
0 days 07:46:35.797499300,07:46:35.850951249,53.451949
0 days 07:48:46.638845698,07:48:46.696342713,57.497015
0 days 07:51:00.411442570,07:51:00.46660896,55.16639
0 days 07:53:10.970388160,07:53:11.024032988,53.644828
0 days 07:55:22.402020297,07:55:22.456725069,54.704772
0 days 07:57:34.395407218,07:57:34.46200007,66.592852
0 days 07:59:46.229334189,07:59:46.283185556,53.851367
0 days 08:01:57.641429167,08:01:57.695559232,54.130065
0 days 08:04:09.987153293,08:04:10.040660999,53.507706
0 days 08:06:21.577789431,08:06:21.63000691,52.217479
0 days 08:08:33.205024494,08:08:33.259253959,54.229465
0 days 08:10:45.517967872,08:10:45.573490577,55.522705
0 days 08:12:57.198132321,08:12:57.25166193,53.529609
0 days 08:15:08.663309908,08:15:08.718299736,54.989828
0 days 08:17:20.478878343,08:17:20.534388813,55.51047
0 days 08:19:31.854814186,08:19:31.910816231,56.002045
0 days 08:21:43.557693959,08:21:43.615111029,57.41707
0 days 08:23:55.211146144,08:23:55.26379106,52.644916
0 days 08:26:11.618955481,08:26:11.674790596,55.835115
0 days 08:28:21.453121010,08:28:21.506158936,53.037926
0 days 08:30:33.097718854,08:30:33.155046211,57.327357
0 days 08:32:43.930438792,08:32:43.983991867,53.553075
0 days 08:34:57.146148754,08:34:57.204233445,58.084691
0 days 08:37:10.246182708,08:37:10.315523155,69.340447
0 days 08:39:21.738416478,08:39:21.793412265,54.995787
0 days 08:41:33.960942987,08:41:34.01497773,54.034743
0 days 08:43:46.123831133,08:43:46.184506831,60.675698
0 days 08:45:58.549575644,08:45:58.604178995,54.603351
0 days 08:48:10.536988760,08:48:10.601613844,64.625084
0 days 08:50:21.946565594,08:50:23.011197468,1064.631874
0 days 08:52:34.323194888,08:52:34.388892322,65.697434
0 days 08:54:45.680885604,08:54:45.73626104,55.375436
0 days 08:56:57.539231260,08:56:57.594365267,55.134007
0 days 08:59:10.197063175,08:59:10.250779851,53.716676
0 days 09:01:22.659423652,09:01:22.71235645,52.932798
0 days 09:03:33.391345865,09:03:33.446442938,55.097073
0 days 09:05:46.188152815,09:05:46.241334701,53.181886
0 days 09:07:57.923219100,09:07:58.990364013,1067.144913
0 days 09:10:09.134301424,09:10:09.188680019,54.378595
0 days 09:12:21.550084225,09:12:21.606402122,56.317897
0 days 09:14:32.685755418,09:14:32.738597742,52.842324
0 days 09:16:44.240081213,09:16:44.294178091,54.096878
0 days 09:18:56.120713254,09:18:56.177313331,56.600077
0 days 09:21:07.820083211,09:21:07.876029246,55.946035
0 days 09:23:19.619447987,09:23:19.673662154,54.214167
0 days 09:25:31.640029390,09:25:31.694741917,54.712527
0 days 09:27:43.025962938,09:27:43.078123107,52.160169
0 days 09:29:54.101597373,09:29:54.155202293,53.60492
0 days 09:32:06.145842640,09:32:06.201921814,56.079174
0 days 09:34:18.029499631,09:34:18.082894232,53.394601
0 days 09:36:29.627926210,09:36:29.680065166,52.138956
0 days 09:38:41.385017067,09:38:41.442289689,57.272622
0 days 09:40:52.761213637,09:40:52.816788833,55.575196
0 days 09:43:05.024011775,09:43:05.076157508,52.145733
0 days 09:45:16.278732464,09:45:16.333060629,54.328165
0 days 09:47:28.236792782,09:47:28.292828727,56.035945
