StartTime,EndTime,HolepunchTime
0 days 11:50:05.424731337,11:50:05.833731349,409.000012
0 days 11:52:15.755727926,11:52:16.162822208,407.094282
0 days 11:54:27.669832146,11:54:28.08306673,413.234584
0 days 11:56:39.321378473,11:56:39.734446931,413.068458
0 days 11:58:51.038324481,11:58:51.446848867,408.524386
0 days 12:01:03.064861230,12:01:03.484149126,419.287896
0 days 12:03:14.617038829,12:03:15.02466254,407.623711
0 days 12:05:25.934458794,12:05:26.341993948,407.535154
0 days 12:07:37.986280328,12:07:38.396283955,410.003627
0 days 12:09:50.667771974,12:09:51.277889888,610.117914
0 days 12:12:01.269655411,12:12:01.677706751,408.05134
0 days 12:14:18.034165242,12:14:18.511475766,477.310524
0 days 12:16:26.897028426,12:16:27.314011852,416.983426
0 days 12:18:38.507502251,12:18:38.939280905,431.778654
0 days 12:20:50.677406734,12:20:51.294038318,616.631584
0 days 12:23:03.221396729,12:23:03.629528626,408.131897
0 days 12:25:14.786681674,12:25:15.210123212,423.441538
0 days 12:27:26.667450187,12:27:27.087983208,420.533021
0 days 12:29:38.762907597,12:29:39.195853614,432.946017
0 days 12:31:50.438021529,12:31:50.845968467,407.946938
0 days 12:34:07.805064673,12:34:08.221655007,416.590334
0 days 12:36:15.479345763,12:36:15.888029059,408.683296
0 days 12:38:27.960187694,12:38:28.380171447,419.983753
0 days 12:40:38.420496808,12:40:38.840280215,419.783407
0 days 12:42:49.584065139,12:42:49.99666249,412.597351
0 days 12:45:02.141250804,12:45:02.554331507,413.080703
0 days 12:47:13.030234135,12:47:13.438514593,408.280458
0 days 12:49:26.077604547,12:49:26.486551438,408.946891
0 days 12:51:36.976801945,12:51:37.388045845,411.2439
0 days 12:53:53.044307057,12:53:53.466988369,422.681312
0 days 12:56:03.764067216,12:56:04.194156661,430.089445
0 days 12:58:14.247960761,12:58:14.658064631,410.10387
0 days 13:00:25.480394494,13:00:26.087820213,607.425719
0 days 13:02:37.219690359,13:02:37.63773812,418.047761
0 days 13:04:49.712995340,13:04:50.126590846,413.595506
0 days 13:07:00.056814301,13:07:00.469585094,412.770793
0 days 13:09:13.253140609,13:09:13.664276018,411.135409
0 days 13:11:24.838081872,13:11:25.260550792,422.46892
0 days 13:13:36.239559848,13:13:36.646684812,407.124964
0 days 13:15:47.759333363,13:15:48.17355017,414.216807
0 days 13:17:59.106923881,13:17:59.513215832,406.291951
0 days 13:20:11.560959430,13:20:11.971442665,410.483235
0 days 13:22:23.593194415,13:22:24.887324125,1294.12971
0 days 13:24:37.663518774,13:24:38.082676399,419.157625
0 days 13:26:50.820284053,13:26:51.230298181,410.014128
0 days 13:29:02.069544765,13:29:02.476417477,406.872712
0 days 13:31:27.954669682,13:31:28.679193058,724.523376
0 days 13:33:29.989395248,13:33:30.397341229,407.945981
0 days 13:35:43.793634717,13:35:44.400713227,607.07851
0 days 13:37:56.499112504,13:37:56.906859547,407.747043
0 days 13:40:07.927281471,13:40:08.353971326,426.689855
0 days 13:42:20.286240719,13:42:20.893507986,607.267267
0 days 13:44:31.370271985,13:44:31.792196207,421.924222
0 days 13:46:43.116736258,13:46:43.526269817,409.533559
0 days 13:48:54.602831140,13:48:55.012491416,409.660276
0 days 13:51:07.412467965,13:51:07.825436419,412.968454
0 days 13:53:18.778355328,13:53:19.18686598,408.510652
0 days 13:55:30.756177487,13:55:31.166939793,410.762306
0 days 13:57:42.544760598,13:57:42.95506721,410.306612
0 days 13:59:54.787317279,13:59:55.193685352,406.368073
