StartTime,EndTime,HolepunchTime
0 days 06:09:54.553638947,06:09:54.600170422,46.531475
0 days 06:12:04.659487207,06:12:04.725291618,65.804411
0 days 06:14:18.934272909,06:14:18.990007863,55.734954
0 days 06:16:29.802614449,06:16:29.854898511,52.284062
0 days 06:18:40.245842388,06:18:40.293488823,47.646435
0 days 06:20:51.512539178,06:20:51.565858799,53.319621
0 days 06:23:05.789222153,06:23:05.838827846,49.605693
0 days 06:25:15.748746587,06:25:15.801360308,52.613721
0 days 06:27:28.685289137,06:27:28.761946308,76.657171
0 days 06:29:39.662674794,06:29:39.710570879,47.896085
0 days 06:31:51.914552515,06:31:51.962143469,47.590954
0 days 06:34:03.964525356,06:34:04.037226208,72.700852
0 days 06:36:14.852781139,06:36:14.909148912,56.367773
0 days 06:38:26.336941562,06:38:26.393302296,56.360734
0 days 06:40:38.954639269,06:40:39.002202545,47.563276
0 days 06:42:49.806967908,06:42:49.855133933,48.166025
0 days 06:45:01.933785714,06:45:01.982322303,48.536589
0 days 06:47:13.648645328,06:47:13.695445523,46.800195
0 days 06:49:25.360884012,06:49:25.408921552,48.03754
0 days 06:51:36.641167140,06:51:36.704698076,63.530936
0 days 06:53:48.294835893,06:53:48.352778485,57.942592
0 days 06:56:00.263174205,06:56:00.324065228,60.891023
0 days 06:58:12.188548062,06:58:12.251295554,62.747492
0 days 07:00:23.647427026,07:00:23.69559126,48.164234
0 days 07:02:35.079757771,07:02:35.132956207,53.198436
0 days 07:04:46.458852996,07:04:46.510287885,51.434889
0 days 07:06:58.894299452,07:06:58.943506588,49.207136
0 days 07:09:10.574910075,07:09:10.631765956,56.855881
0 days 07:11:21.555052808,07:11:21.611000516,55.947708
0 days 07:13:33.958623828,07:13:34.005117287,46.493459
0 days 07:15:45.308260573,07:15:45.356044652,47.784079
0 days 07:17:58.890498231,07:17:58.938862445,48.364214
0 days 07:20:09.580252478,07:20:09.628410419,48.157941
0 days 07:22:21.200674986,07:22:21.247285924,46.610938
0 days 07:24:32.667256993,07:24:32.715442606,48.185613
0 days 07:26:44.383814154,07:26:44.433519086,49.704932
0 days 07:28:55.522037859,07:28:55.584360704,62.322845
0 days 07:31:06.862363129,07:31:06.910484916,48.121787
0 days 07:33:22.787876832,07:33:22.852540168,64.663336
0 days 07:35:30.544103354,07:35:30.591453929,47.350575
0 days 07:37:42.276568830,07:37:42.325263662,48.694832
0 days 07:39:54.127422855,07:39:54.174555702,47.132847
0 days 07:42:04.862879313,07:42:04.91811349,55.234177
0 days 07:44:17.003320694,07:44:17.058025266,54.704572
0 days 07:46:28.972620259,07:46:29.021871554,49.251295
0 days 07:48:40.577705242,07:48:40.634884518,57.179276
0 days 07:50:53.519725319,07:50:53.568561173,48.835854
0 days 07:53:03.336376407,07:53:03.440849376,104.472969
0 days 07:55:15.774265498,07:55:16.028432727,254.167229
0 days 07:57:27.860504373,07:57:27.914599384,54.095011
0 days 07:59:38.987027596,07:59:39.03579002,48.762424
0 days 08:01:50.608938263,08:01:50.753478126,144.539863
0 days 08:04:02.152895832,08:04:02.200345823,47.449991
0 days 08:06:13.830151514,08:06:13.890034478,59.882964
0 days 08:08:25.831747709,08:08:25.881584448,49.836739
0 days 08:10:36.929781683,08:10:36.978823974,49.042291
0 days 08:12:48.782923389,08:12:48.829290458,46.367069
0 days 08:15:00.913018540,08:15:00.963559345,50.540805
0 days 08:17:12.340190629,08:17:12.399088402,58.897773
0 days 08:19:23.704803677,08:19:23.762411337,57.60766
0 days 08:21:35.926567648,08:21:35.974700819,48.133171
