StartTime,EndTime,HolepunchTime
0 days 02:58:08.282335007,02:58:08.331186884,48.851877
0 days 03:00:20.634675858,03:00:20.642687,8.011142
0 days 03:02:32.062315839,03:02:32.070127166,7.811327
0 days 03:04:44.619405601,03:04:44.625879348,6.473747
0 days 03:06:56.556115389,03:06:56.565603235,9.487846
0 days 03:09:09.322919984,03:09:09.328228797,5.308813
0 days 03:11:20.216858640,03:11:20.221466474,4.607834
0 days 03:13:32.683778389,03:13:32.68858807,4.809681
0 days 03:15:44.429622031,03:15:44.434469862,4.847831
0 days 03:17:56.540385554,03:17:56.546759146,6.373592
0 days 03:20:09.696000667,03:20:09.707907701,11.907034
0 days 03:22:20.204600642,03:22:20.212804994,8.204352
0 days 03:24:34.386725065,03:24:34.398349786,11.624721
0 days 03:26:43.877743467,03:26:43.883825769,6.082302
0 days 03:28:56.218513341,03:28:56.225063874,6.550533
0 days 03:31:09.700592302,03:31:09.706391544,5.799242
0 days 03:33:22.306331606,03:33:22.316647064,10.315458
0 days 03:35:35.272825328,03:35:35.280750086,7.924758
0 days 03:37:45.693545517,03:37:45.704562776,11.017259
0 days 03:39:57.869472949,03:39:57.875948062,6.475113
0 days 03:42:09.980406926,03:42:09.997753234,17.346308
0 days 03:44:21.196674296,03:44:21.208793493,12.119197
0 days 03:46:33.138912601,03:46:33.144281044,5.368443
0 days 03:48:44.874403190,03:48:44.887106582,12.703392
0 days 03:50:56.506959286,03:50:56.516923508,9.964222
0 days 03:53:08.050197854,03:53:08.058452547,8.254693
0 days 03:55:19.650612666,03:55:19.655677306,5.06464
0 days 03:57:31.267521047,03:57:31.27394714,6.426093
0 days 03:59:43.417660400,03:59:43.423459541,5.799141
0 days 04:01:54.547234927,04:01:54.553182682,5.947755
0 days 04:04:07.723742121,04:04:07.737442964,13.700843
0 days 04:06:18.344297636,04:06:18.349803866,5.50623
0 days 04:08:30.865901739,04:08:30.872162299,6.26056
0 days 04:10:42.284841936,04:10:42.291233853,6.391917
0 days 04:12:54.513216436,04:12:54.519244772,6.028336
0 days 04:15:05.806727481,04:15:05.815016983,8.289502
0 days 04:17:18.164281331,04:17:18.188909006,24.627675
0 days 04:19:31.066566620,04:19:31.08250737,15.94075
0 days 04:21:42.482873998,04:21:42.490023501,7.149503
0 days 04:23:53.687093185,04:23:53.692924038,5.830853
0 days 04:26:05.979818705,04:26:05.985892492,6.073787
