StartTime,EndTime,HolepunchTime
0 days 01:34:56.369822759,01:34:56.794864729,425.04197
0 days 01:37:07.686900899,01:37:08.111838546,424.937647
0 days 01:39:19.406213309,01:39:19.826942911,420.729602
0 days 01:41:31.297389687,01:41:31.707500289,410.110602
0 days 01:43:42.508147137,01:43:42.920546295,412.399158
0 days 01:45:53.925588664,01:45:54.351355676,425.767012
0 days 01:48:05.818816653,01:48:06.228249952,409.433299
0 days 01:50:17.031926360,01:50:17.443664625,411.738265
0 days 01:52:28.583772528,01:52:29.01281665,429.044122
0 days 01:54:40.311818799,01:54:40.723698006,411.879207
0 days 01:56:53.337121170,01:56:53.752665564,415.544394
0 days 01:59:04.333201341,01:59:04.747504445,414.303104
0 days 02:01:17.503060802,02:01:17.925398128,422.337326
0 days 02:03:28.532384497,02:03:28.941247243,408.862746
0 days 02:05:41.489403755,02:05:41.899676667,410.272912
0 days 02:07:52.708865586,02:07:53.124691963,415.826377
0 days 02:10:05.343940473,02:10:05.756551733,412.61126
0 days 02:12:16.415470299,02:12:16.832958499,417.4882
0 days 02:14:28.175740168,02:14:28.590568054,414.827886
0 days 02:16:40.949658451,02:16:41.359255486,409.597035
0 days 02:18:53.620307100,02:18:54.046505737,426.198637
0 days 02:21:03.844755354,02:21:04.263955119,419.199765
0 days 02:23:15.228747214,02:23:15.638585325,409.838111
0 days 02:25:27.195518425,02:25:27.606692099,411.173674
0 days 02:27:39.376365724,02:27:39.794647703,418.281979
0 days 02:29:50.276724295,02:29:50.690557342,413.833047
0 days 02:32:01.914783158,02:32:02.333127153,418.343995
0 days 02:34:14.101317730,02:34:14.512637676,411.319946
0 days 02:36:25.227514024,02:36:25.639424404,411.91038
0 days 02:38:37.750602868,02:38:38.168779262,418.176394
0 days 02:40:48.865548180,02:40:49.296233743,430.685563
0 days 02:43:00.462822179,02:43:00.88163312,418.810941
0 days 02:45:11.924178070,02:45:12.334502735,410.324665
0 days 02:47:23.503982823,02:47:23.915485229,411.502406
0 days 02:49:35.895309292,02:49:36.328765298,433.456006
0 days 02:51:47.436034495,02:51:47.850480114,414.445619
0 days 02:54:00.148843814,02:54:00.55980922,410.965406
0 days 02:56:11.681014908,02:56:12.088297901,407.282993
0 days 02:58:25.395017113,02:58:25.812597674,417.580561
0 days 03:00:34.379952906,03:00:34.791940134,411.987228
0 days 03:02:45.344586924,03:02:45.767949861,423.362937
0 days 03:04:57.421000941,03:04:57.838396968,417.396027
0 days 03:07:09.766849188,03:07:10.195354231,428.505043
0 days 03:09:21.383154590,03:09:21.805036842,421.882252
0 days 03:11:37.872445416,03:11:38.279710226,407.26481
0 days 03:13:44.989546376,03:13:45.482609059,493.062683
0 days 03:15:56.220372520,03:15:56.632480363,412.107843
0 days 03:18:07.535699401,03:18:07.961794585,426.095184
0 days 03:20:19.939057610,03:20:20.351394871,412.337261
0 days 03:22:31.219561854,03:22:31.632672934,413.11108
0 days 03:24:43.203716805,03:24:43.62575729,422.040485
0 days 03:26:54.250693265,03:26:54.659870688,409.177423
0 days 03:29:06.505568276,03:29:06.926852453,421.284177
0 days 03:31:17.823959710,03:31:18.245683108,421.723398
0 days 03:33:30.170938987,03:33:30.579133035,408.194048
0 days 03:35:42.077902048,03:35:42.492025359,414.123311
0 days 03:37:53.641637474,03:37:54.064926796,423.289322
0 days 03:40:05.285847132,03:40:05.705422315,419.575183
0 days 03:42:18.205397838,03:42:18.638377658,432.97982
0 days 03:44:30.072927705,03:44:30.480225401,407.297696
0 days 03:46:41.768024827,03:46:42.182613784,414.588957
0 days 03:48:54.150259779,03:48:54.560906505,410.646726
0 days 03:51:04.962385117,03:51:05.383315082,420.929965
0 days 03:53:17.075715823,03:53:17.486061016,410.345193
0 days 03:55:28.513447066,03:55:28.936517134,423.070068
0 days 03:57:40.035117339,03:57:40.445862541,410.745202
0 days 03:59:52.397498622,03:59:52.808729236,411.230614
0 days 04:02:04.277626254,04:02:04.69807386,420.447606
0 days 04:04:16.057023677,04:04:16.466084458,409.060781
0 days 04:06:27.604578956,04:06:28.025456758,420.877802
0 days 04:08:39.196902437,04:08:39.608375736,411.473299
0 days 04:10:51.375359272,04:10:51.782484447,407.125175
0 days 04:13:03.123135140,04:13:03.555792777,432.657637
0 days 04:15:15.324940567,04:15:15.750854558,425.913991
0 days 04:17:26.930652244,04:17:27.356385577,425.733333
0 days 04:19:38.400922203,04:19:38.817154174,416.231971
0 days 04:21:51.614645785,04:21:52.024117505,409.47172
0 days 04:24:02.935078398,04:24:03.341638778,406.56038
0 days 04:26:14.870350811,04:26:15.276882144,406.531333
0 days 04:28:25.864920556,04:28:26.28251722,417.596664
0 days 04:30:38.109246134,04:30:38.51893422,409.688086
0 days 04:32:50.173609048,04:32:50.583123707,409.514659
0 days 04:35:01.830475111,04:35:02.238216816,407.741705
0 days 04:37:12.524605404,04:37:12.951763578,427.158174
0 days 04:39:25.755859082,04:39:26.16400525,408.146168
0 days 04:41:37.482122648,04:41:37.888984964,406.862316
0 days 04:43:49.124829602,04:43:49.532284751,407.455149
0 days 04:46:01.373669241,04:46:01.780961997,407.292756
0 days 04:48:12.851283349,04:48:13.258931022,407.647673
0 days 04:50:23.786735534,04:50:24.21320693,426.471396
0 days 04:52:36.422385202,04:52:36.838553833,416.168631
0 days 04:54:47.403959144,04:54:47.82702155,423.062406
0 days 04:56:59.079831960,04:56:59.490977832,411.145872
0 days 04:59:11.364016394,04:59:11.772342322,408.325928
0 days 05:01:22.158709776,05:01:22.570078976,411.3692
0 days 05:03:34.382688398,05:03:34.811421558,428.73316
0 days 05:05:45.541187046,05:05:45.960653326,419.46628
0 days 05:07:57.939400653,05:07:58.356425479,417.024826
0 days 05:10:09.245232001,05:10:09.658423609,413.191608
0 days 05:12:21.143223989,05:12:21.55617346,412.949471
