StartTime,EndTime,HolepunchTime
0 days 05:53:28.891434661,05:53:28.950076001,58.64134
0 days 05:55:43.002978613,05:55:43.061999385,59.020772
0 days 05:57:55.303854394,05:57:55.355492357,51.637963
0 days 06:00:11.443582996,06:00:11.508109565,64.526569
0 days 06:02:21.152266410,06:02:21.202082872,49.816462
0 days 06:04:33.846351755,06:04:33.900775036,54.423281
0 days 06:06:47.582851223,06:06:47.63657937,53.728147
0 days 06:09:03.764613370,06:09:03.823120576,58.507206
0 days 06:11:11.497968624,06:11:11.545425607,47.456983
0 days 06:13:23.207039362,06:13:23.270119757,63.080395
0 days 06:15:34.608932290,06:15:34.656387478,47.455188
0 days 06:17:46.191189218,06:17:46.239573151,48.383933
0 days 06:19:58.015515296,06:19:58.065142966,49.62767
0 days 06:22:10.509299248,06:22:10.577820838,68.52159
0 days 06:24:21.657373400,06:24:21.718504201,61.130801
0 days 06:26:33.896942799,06:26:33.96661345,69.670651
0 days 06:28:44.803082357,06:28:44.850417954,47.335597
0 days 06:30:57.546969949,06:30:57.606304087,59.334138
0 days 06:33:09.887419078,06:33:09.940324122,52.905044
0 days 06:35:23.119280297,06:35:23.194612284,75.331987
0 days 06:37:35.338257155,06:37:35.387103633,48.846478
0 days 06:39:47.197449848,06:39:47.265864524,68.414676
0 days 06:41:58.422147356,06:41:58.474538765,52.391409
0 days 06:44:10.840442722,06:44:10.88855246,48.109738
0 days 06:46:22.496831623,06:46:22.547872155,51.040532
0 days 06:48:34.938143812,06:48:34.995584256,57.440444
0 days 06:50:47.267750146,06:50:47.322843257,55.093111
0 days 06:52:58.758122756,06:52:58.817363341,59.240585
0 days 06:55:10.829687115,06:55:10.877852227,48.165112
0 days 06:57:22.867802930,06:57:22.914336158,46.533228
0 days 06:59:33.798004512,06:59:33.846273245,48.268733
0 days 07:01:46.029103622,07:01:46.084159974,55.056352
0 days 07:03:57.500198677,07:03:57.554658535,54.459858
0 days 07:06:09.074937232,07:06:09.127847994,52.910762
0 days 07:08:22.014118604,07:08:22.063960736,49.842132
0 days 07:10:32.560693642,07:10:32.611514422,50.82078
0 days 07:12:44.138328197,07:12:44.199078571,60.750374
0 days 07:14:57.098298142,07:14:57.14577907,47.480928
0 days 07:17:07.623640360,07:17:07.684408157,60.767797
0 days 07:19:19.896087556,07:19:19.960627483,64.539927
0 days 07:21:32.012569661,07:21:32.062178045,49.608384
0 days 07:23:43.862420581,07:23:43.914879609,52.459028
0 days 07:25:55.995965858,07:25:56.050587079,54.621221
0 days 07:28:07.247614643,07:28:07.302959324,55.344681
0 days 07:30:19.386085544,07:30:19.443060105,56.974561
0 days 07:32:31.216425131,07:32:31.263876206,47.451075
0 days 07:34:42.933770666,07:34:42.985460682,51.690016
0 days 07:36:54.841291777,07:36:54.907190876,65.899099
0 days 07:39:07.304135093,07:39:07.355866886,51.731793
0 days 07:41:18.546668052,07:41:18.611653503,64.985451
0 days 07:43:30.793565840,07:43:30.847923424,54.357584
0 days 07:45:42.428515797,07:45:42.478957969,50.442172
0 days 07:47:53.909512127,07:47:53.963035377,53.52325
0 days 07:50:06.192446939,07:50:06.242406727,49.959788
0 days 07:52:17.092709951,07:52:17.150825398,58.115447
0 days 07:54:30.315642747,07:54:30.370414458,54.771711
0 days 07:56:42.696058430,07:56:42.751355996,55.297566
0 days 07:58:54.600602843,07:58:54.678443711,77.840868
0 days 08:01:04.328518756,08:01:04.400374311,71.855555
0 days 08:03:16.702367746,08:03:16.74832372,45.955974
0 days 08:05:28.831000293,08:05:28.889525475,58.525182
0 days 08:07:41.027908099,08:07:41.076851933,48.943834
0 days 08:09:51.306275565,08:09:51.366199732,59.924167
0 days 08:12:02.997448802,08:12:03.05311039,55.661588
0 days 08:14:15.267083494,08:14:15.322182558,55.099064
0 days 08:16:26.899504448,08:16:26.946928413,47.423965
0 days 08:18:38.478555826,08:18:38.532554221,53.998395
0 days 08:20:49.880157332,08:20:49.935441847,55.284515
0 days 08:23:01.956208641,08:23:02.0031547,46.946059
0 days 08:25:13.836854934,08:25:13.885623785,48.768851
0 days 08:27:25.028725817,08:27:25.090286696,61.560879
0 days 08:29:36.328053954,08:29:36.374277236,46.223282
0 days 08:31:49.131411905,08:31:49.17834116,46.929255
0 days 08:34:01.495489930,08:34:01.555682079,60.192149
0 days 08:36:12.037891540,08:36:12.08541238,47.52084
0 days 08:38:23.532536864,08:38:23.582023627,49.486763
0 days 08:40:35.448187985,08:40:35.501704604,53.516619
0 days 08:42:47.514250241,08:42:47.576542903,62.292662
0 days 08:44:58.699435803,08:44:58.754501588,55.065785
0 days 08:47:11.686577358,08:47:11.746058102,59.480744
0 days 08:49:22.606578064,08:49:22.6545165,47.938436
0 days 08:51:34.703808811,08:51:34.765259251,61.45044
0 days 08:53:45.536519395,08:53:45.59567779,59.158395
0 days 08:55:58.124411375,08:55:58.171933027,47.521652
0 days 08:58:09.934985994,08:58:09.984988817,50.002823
0 days 09:00:21.375645623,09:00:21.426074538,50.428915
0 days 09:02:33.193126729,09:02:33.243538281,50.411552
0 days 09:04:44.432921109,09:04:44.502885791,69.964682
0 days 09:06:57.051249699,09:06:57.116968651,65.718952
0 days 09:09:07.669353701,09:09:07.725202476,55.848775
0 days 09:11:20.590500735,09:11:20.643740079,53.239344
0 days 09:13:31.375623833,09:13:31.425215761,49.591928
0 days 09:15:43.507391612,09:15:43.557326128,49.934516
0 days 09:17:54.643287654,09:17:54.710022773,66.735119
0 days 09:20:06.250981466,09:20:06.298327183,47.345717
0 days 09:22:17.782176839,09:22:17.844210639,62.0338
0 days 09:24:29.561570321,09:24:29.623913005,62.342684
0 days 09:26:41.875274172,09:26:41.922134821,46.860649
0 days 09:28:53.510585569,09:28:53.573126455,62.540886
0 days 09:31:05.178137322,09:31:05.233539881,55.402559
