StartTime,EndTime,HolepunchTime
0 days 06:32:58.853969711,06:32:58.906766525,52.796814
0 days 06:35:11.410034816,06:35:11.466783564,56.748748
0 days 06:37:22.078082071,06:37:22.135622749,57.540678
0 days 06:39:34.397118536,06:39:34.459403345,62.284809
0 days 06:41:45.774153318,06:41:45.829710775,55.557457
0 days 06:43:57.491640445,06:43:57.546576532,54.936087
0 days 06:46:09.288006982,06:46:09.341604559,53.597577
0 days 06:48:20.990211932,06:48:21.049479904,59.267972
0 days 06:50:32.524780220,06:50:32.581265137,56.484917
0 days 06:52:44.482169475,06:52:44.536700047,54.530572
0 days 06:54:56.469013606,06:54:56.527687527,58.673921
0 days 06:57:07.902108774,06:57:07.957279493,55.170719
0 days 06:59:19.286261353,06:59:19.340537375,54.276022
0 days 07:01:31.489402213,07:01:31.542681898,53.279685
0 days 07:03:42.724973864,07:03:42.779299216,54.325352
0 days 07:05:55.405134785,07:05:55.459359634,54.224849
0 days 07:08:06.827369852,07:08:06.883817791,56.447939
0 days 07:10:17.954407565,07:10:18.008745699,54.338134
0 days 07:12:30.121479068,07:12:30.186108892,64.629824
0 days 07:14:42.080606018,07:14:42.134838005,54.231987
0 days 07:16:53.498822768,07:16:53.553812378,54.98961
0 days 07:19:05.014247988,07:19:05.069669131,55.421143
0 days 07:21:16.578002428,07:21:16.632288396,54.285968
0 days 07:23:28.565662872,07:23:28.620556769,54.893897
0 days 07:25:40.585355591,07:25:40.64060328,55.247689
0 days 07:27:51.789519694,07:27:51.843312745,53.793051
0 days 07:30:03.920730469,07:30:03.976614688,55.884219
0 days 07:32:14.812289198,07:32:14.868094929,55.805731
0 days 07:34:27.758334133,07:34:27.811355737,53.021604
0 days 07:36:38.941699827,07:36:39.01732489,75.625063
0 days 07:38:50.906540069,07:38:50.964436802,57.896733
0 days 07:41:02.404446389,07:41:02.463686172,59.239783
0 days 07:43:14.271751966,07:43:14.326651364,54.899398
0 days 07:45:25.055395322,07:45:25.110990448,55.595126
0 days 07:47:37.700642771,07:47:37.754941974,54.299203
0 days 07:49:49.686473465,07:49:49.742823459,56.349994
0 days 07:52:01.618633027,07:52:01.675994202,57.361175
0 days 07:54:13.273656292,07:54:13.32651143,52.855138
0 days 07:56:26.375203830,07:56:26.432837529,57.633699
0 days 07:58:37.394350940,07:58:37.453862514,59.511574
0 days 08:00:49.178623706,08:00:49.236979596,58.35589
0 days 08:03:01.705869683,08:03:01.762566821,56.697138
0 days 08:05:12.604951705,08:05:12.659058304,54.106599
0 days 08:07:25.034761748,08:07:25.087690962,52.929214
0 days 08:09:36.465469710,08:09:36.51974712,54.27741
0 days 08:11:47.770878632,08:11:47.824996528,54.117896
0 days 08:13:59.573072888,08:13:59.625588364,52.515476
0 days 08:16:11.790920238,08:16:11.845810799,54.890561
0 days 08:18:22.561732489,08:18:22.616652953,54.920464
0 days 08:20:34.732693983,08:20:34.787120645,54.426662
0 days 08:22:46.572031637,08:22:46.625800623,53.768986
0 days 08:24:58.314953686,08:24:58.375245089,60.291403
0 days 08:27:10.063879486,08:27:10.119007203,55.127717
0 days 08:29:21.393784177,08:29:21.447202619,53.418442
0 days 08:31:33.053099440,08:31:33.10815808,55.05864
0 days 08:33:46.998633706,08:33:47.053605871,54.972165
0 days 08:35:56.426217462,08:35:56.480213772,53.99631
0 days 08:38:08.055104062,08:38:08.109525697,54.421635
0 days 08:40:20.662390647,08:40:20.716969315,54.578668
0 days 08:42:32.020444114,08:42:32.075976295,55.532181
0 days 08:44:43.816504541,08:44:43.872763596,56.259055
0 days 08:46:55.699606291,08:46:55.757795543,58.189252
0 days 08:49:07.901991898,08:49:07.972037783,70.045885
0 days 08:51:19.003744252,08:51:19.057799386,54.055134
0 days 08:53:30.583292079,08:53:30.638627294,55.335215
0 days 08:55:43.069737231,08:55:43.125362753,55.625522
0 days 08:57:54.864391474,08:57:54.917495962,53.104488
0 days 09:00:06.010071707,09:00:06.064818334,54.746627
0 days 09:02:17.974019826,09:02:18.03545873,61.438904
0 days 09:04:30.232117728,09:04:30.287603593,55.485865
0 days 09:06:41.832950012,09:06:41.887792824,54.842812
0 days 09:08:54.369855906,09:08:54.424044139,54.188233
0 days 09:11:05.479168275,09:11:05.53290651,53.738235
0 days 09:13:16.651457660,09:13:16.705110713,53.653053
0 days 09:15:28.224179693,09:15:28.279622363,55.44267
0 days 09:17:39.878427544,09:17:39.937576754,59.14921
