StartTime,EndTime,HolepunchTime
0 days 10:13:06.685783701,10:13:06.892585686,206.801985
0 days 10:15:17.576673071,10:15:17.786557448,209.884377
0 days 10:17:29.252247224,10:17:29.462687662,210.440438
0 days 10:19:41.499957432,10:19:41.716861578,216.904146
0 days 10:21:53.697092596,10:21:53.913913957,216.821361
0 days 10:24:05.987530814,10:24:06.226514419,238.983605
0 days 10:26:18.534058003,10:26:18.742329762,208.271759
0 days 10:28:29.843387844,10:28:30.05101259,207.624746
0 days 10:30:42.356858040,10:30:42.563398408,206.540368
0 days 10:32:54.306309160,10:32:54.522103668,215.794508
0 days 10:35:06.924236725,10:35:07.133385737,209.149012
0 days 10:37:18.048692178,10:37:18.259468887,210.776709
0 days 10:39:30.208710093,10:39:30.421626164,212.916071
0 days 10:41:41.417066943,10:41:41.623923019,206.856076
0 days 10:43:52.738754387,10:43:52.954278389,215.524002
0 days 10:46:04.757428551,10:46:04.9658566,208.428049
0 days 10:48:16.344321129,10:48:16.55140362,207.082491
0 days 10:50:28.187211201,10:50:28.400882724,213.671523
0 days 10:52:39.912368138,10:52:40.131600123,219.231985
0 days 10:54:52.285387898,10:54:52.539642336,254.254438
0 days 10:57:03.173851199,10:57:03.382549252,208.698053
0 days 10:59:15.318726406,10:59:15.530648768,211.922362
0 days 11:01:26.378082981,11:01:26.586248209,208.165228
0 days 11:03:38.302274200,11:03:38.510116056,207.841856
0 days 11:05:50.487784683,11:05:50.697305459,209.520776
0 days 11:08:02.608761224,11:08:02.816408835,207.647611
0 days 11:10:14.096823409,11:10:14.30987381,213.050401
0 days 11:12:25.578815069,11:12:25.791132682,212.317613
0 days 11:14:38.278822500,11:14:38.486256694,207.434194
0 days 11:16:50.058215064,11:16:50.265911056,207.695992
0 days 11:19:01.407094683,11:19:01.628135967,221.041284
0 days 11:21:12.449927650,11:21:12.660561594,210.633944
0 days 11:23:24.986752813,11:23:25.213074793,226.32198
0 days 11:25:36.353993670,11:25:36.577587446,223.593776
0 days 11:27:48.600495073,11:27:48.821278847,220.783774
0 days 11:29:59.616540915,11:29:59.833216877,216.675962
0 days 11:32:12.168636125,11:32:12.38322769,214.591565
0 days 11:34:23.721605131,11:34:23.936960425,215.355294
0 days 11:36:35.969130945,11:36:36.18351962,214.388675
0 days 11:38:47.482208653,11:38:47.690114654,207.906001
0 days 11:40:58.879360341,11:40:59.091258069,211.897728
0 days 11:43:09.956492680,11:43:10.169112327,212.619647
0 days 11:45:21.882978470,11:45:22.09150175,208.52328
0 days 11:47:34.081339480,11:47:34.295546702,214.207222
0 days 11:49:45.687209602,11:49:45.896293613,209.084011
0 days 11:51:57.527645498,11:51:57.737310396,209.664898
0 days 11:54:09.946227052,11:54:10.155225188,208.998136
0 days 11:56:22.006789959,11:56:22.219789684,212.999725
0 days 11:58:33.459821915,11:58:33.671777252,211.955337
0 days 12:00:45.269625254,12:00:45.486636314,217.01106
0 days 12:02:57.252418885,12:02:57.469332017,216.913132
0 days 12:05:08.567360451,12:05:08.782968658,215.608207
0 days 12:07:20.405326415,12:07:20.612672971,207.346556
0 days 12:09:31.731700333,12:09:31.947127052,215.426719
0 days 12:11:43.350115105,12:11:43.560980632,210.865527
0 days 12:13:55.190668144,12:13:55.3994939,208.825756
0 days 12:16:07.171654711,12:16:07.389128638,217.473927
0 days 12:18:18.876571562,12:18:19.091195328,214.623766
0 days 12:20:31.322571440,12:20:31.535301345,212.729905
0 days 12:22:41.487695242,12:22:41.708801709,221.106467
0 days 12:24:54.337865343,12:24:54.546648384,208.783041
0 days 12:27:06.122563155,12:27:06.345179725,222.61657
0 days 12:29:17.028295255,12:29:17.253188988,224.893733
0 days 12:31:28.955606650,12:31:29.170265198,214.658548
0 days 12:33:41.297957759,12:33:41.509025003,211.067244
0 days 12:35:53.190097505,12:35:53.405196999,215.099494
0 days 12:38:04.657543761,12:38:04.872696861,215.1531
0 days 12:40:16.891507121,12:40:17.113048888,221.541767
0 days 12:42:28.388494355,12:42:28.613068072,224.573717
0 days 12:44:40.201843246,12:44:40.41232095,210.477704
0 days 12:46:52.007144493,12:46:52.22311855,215.974057
0 days 12:49:03.317817238,12:49:03.526001877,208.184639
0 days 12:51:16.124485836,12:51:16.354801084,230.315248
0 days 12:53:27.703723304,12:53:27.917351974,213.62867
0 days 12:55:38.492279145,12:55:38.707148522,214.869377
0 days 12:57:50.329169869,12:57:50.538718063,209.548194
0 days 13:00:02.340379629,13:00:02.553615041,213.235412
0 days 13:02:13.741181527,13:02:13.947795227,206.6137
0 days 13:04:27.300932935,13:04:27.51209889,211.165955
0 days 13:06:38.104539161,13:06:38.322396295,217.857134
