Container,StartTime,EndTime
go-tcp-dockerfinish-clientB-1,12:07:49.50762255,12:07:49.511198495
go-tcp-dockerfinish-clientA-1,12:07:47.249430257,12:07:49.510994491
go-tcp-dockerfinish-clientB-1,12:10:01.122370655,12:10:03.459168535
go-tcp-dockerfinish-clientA-1,12:09:58.219909841,12:10:03.458737678
go-tcp-dockerfinish-clientA-1,12:12:10.150961244,12:12:12.172158599
go-tcp-dockerfinish-clientB-1,12:12:12.170034949,12:12:12.17179485
go-tcp-dockerfinish-clientB-1,12:14:24.641518744,12:14:24.642806791
go-tcp-dockerfinish-clientA-1,12:14:21.738783698,12:14:24.64288315
go-tcp-dockerfinish-clientB-1,12:16:35.499856284,12:16:35.501479744
go-tcp-dockerfinish-clientA-1,12:16:33.631042138,12:16:35.501190627
go-tcp-dockerfinish-clientB-1,12:18:47.615132486,12:18:47.621927055
go-tcp-dockerfinish-clientA-1,12:18:45.602260758,12:18:47.621684438
go-tcp-dockerfinish-clientB-1,12:20:59.250645251,12:20:59.251781465
go-tcp-dockerfinish-clientA-1,12:20:57.059787728,12:20:59.252151475
go-tcp-dockerfinish-clientB-1,12:23:11.193532349,12:23:11.194640271
go-tcp-dockerfinish-clientA-1,12:23:09.22986257,12:23:11.194151615
go-tcp-dockerfinish-clientB-1,12:25:24.27392139,12:25:24.482893171
go-tcp-dockerfinish-clientA-1,12:25:22.195734219,12:25:24.482614636
go-tcp-dockerfinish-clientA-1,12:27:32.843881943,12:27:34.724327897
go-tcp-dockerfinish-clientB-1,12:27:34.722454908,12:27:34.724221875
go-tcp-dockerfinish-clientA-1,12:29:47.763479386,12:29:50.616515835
go-tcp-dockerfinish-clientB-1,12:29:50.615132411,12:29:50.616769436
go-tcp-dockerfinish-clientA-1,12:31:57.922628384,12:31:59.799844912
go-tcp-dockerfinish-clientB-1,12:31:59.798898225,12:31:59.799860597
go-tcp-dockerfinish-clientB-1,12:34:15.20193195,12:34:15.203810163
go-tcp-dockerfinish-clientA-1,12:34:12.181267918,12:34:15.203800043
go-tcp-dockerfinish-clientA-1,12:36:21.28127253,12:36:22.047493126
go-tcp-dockerfinish-clientB-1,12:36:22.035844261,12:36:22.047925072
go-tcp-dockerfinish-clientA-1,12:38:32.531156706,12:38:34.402429735
go-tcp-dockerfinish-clientB-1,12:38:34.40059885,12:38:34.402484846
go-tcp-dockerfinish-clientA-1,12:40:46.065977492,12:40:47.400604365
go-tcp-dockerfinish-clientB-1,12:40:47.399246599,12:40:47.400545306
go-tcp-dockerfinish-clientB-1,12:42:59.275310098,12:42:59.486017964
go-tcp-dockerfinish-clientA-1,12:42:57.57467033,12:42:59.488797569
go-tcp-dockerfinish-clientA-1,12:45:07.882041662,12:45:09.779797007
go-tcp-dockerfinish-clientB-1,12:45:09.778430222,12:45:09.780278464
go-tcp-dockerfinish-clientB-1,12:47:21.751434763,12:47:21.754418134
go-tcp-dockerfinish-clientA-1,12:47:19.874333002,12:47:21.753935784
go-tcp-dockerfinish-clientB-1,12:49:33.043422431,12:49:34.050085405
go-tcp-dockerfinish-clientA-1,12:49:32.385828127,12:49:34.049602983
go-tcp-dockerfinish-clientA-1,12:51:46.241798488,12:51:46.245293583
go-tcp-dockerfinish-clientB-1,12:51:45.06327737,12:51:46.245180782
go-tcp-dockerfinish-clientA-1,12:53:55.856561311,12:53:57.549704299
go-tcp-dockerfinish-clientB-1,12:53:57.548351757,12:53:57.549640218
go-tcp-dockerfinish-clientA-1,12:56:07.408676027,12:56:09.358814843
go-tcp-dockerfinish-clientB-1,12:56:09.357918139,12:56:09.358860568
