Container,StartTime,EndTime
quic-go-dockerhalf-clientB-1,10:13:06.685783701,10:13:06.892205813
quic-go-dockerhalf-clientA-1,10:13:04.802031091,10:13:06.892585686
quic-go-dockerhalf-clientA-1,10:15:16.316404729,00:00:00
quic-go-dockerhalf-clientB-1,10:15:17.576673071,10:15:17.786557448
quic-go-dockerhalf-clientB-1,10:17:29.252247224,10:17:29.462687662
quic-go-dockerhalf-clientA-1,10:17:27.680745967,00:00:00
quic-go-dockerhalf-clientB-1,10:19:41.499957432,00:00:00
quic-go-dockerhalf-clientA-1,10:19:40.026705131,10:19:41.716861578
quic-go-dockerhalf-clientB-1,10:21:53.697092596,00:00:00
quic-go-dockerhalf-clientA-1,10:21:51.948855113,10:21:53.913913957
quic-go-dockerhalf-clientA-1,10:24:04.544386567,00:00:00
quic-go-dockerhalf-clientB-1,10:24:05.987530814,10:24:06.226514419
quic-go-dockerhalf-clientA-1,10:26:16.423481669,10:26:18.742329762
quic-go-dockerhalf-clientB-1,10:26:18.534058003,00:00:00
quic-go-dockerhalf-clientB-1,10:28:29.843387844,00:00:00
quic-go-dockerhalf-clientA-1,10:28:28.37708096,10:28:30.05101259
quic-go-dockerhalf-clientB-1,10:30:42.35685804,10:30:42.563398408
quic-go-dockerhalf-clientA-1,10:30:40.487661572,00:00:00
quic-go-dockerhalf-clientB-1,10:32:54.30630916,10:32:54.522103668
quic-go-dockerhalf-clientA-1,10:32:52.808123858,00:00:00
quic-go-dockerhalf-clientA-1,10:35:04.959613849,00:00:00
quic-go-dockerhalf-clientB-1,10:35:06.924236725,10:35:07.133385737
quic-go-dockerhalf-clientA-1,10:37:16.423483271,00:00:00
quic-go-dockerhalf-clientB-1,10:37:18.048692178,10:37:18.259468887
quic-go-dockerhalf-clientB-1,10:39:30.208710093,10:39:30.421626164
quic-go-dockerhalf-clientA-1,10:39:28.272003983,00:00:00
quic-go-dockerhalf-clientB-1,10:41:41.417066943,10:41:41.623923019
quic-go-dockerhalf-clientA-1,10:41:39.534219822,00:00:00
quic-go-dockerhalf-clientB-1,10:43:52.738754387,10:43:52.954278389
quic-go-dockerhalf-clientA-1,10:43:51.487129777,00:00:00
quic-go-dockerhalf-clientB-1,10:46:04.757428551,10:46:04.9658566
quic-go-dockerhalf-clientA-1,10:46:02.894947707,00:00:00
quic-go-dockerhalf-clientA-1,10:48:14.406962804,00:00:00
quic-go-dockerhalf-clientB-1,10:48:16.344321129,10:48:16.55140362
quic-go-dockerhalf-clientB-1,10:50:28.187211201,00:00:00
quic-go-dockerhalf-clientA-1,10:50:26.234241692,10:50:28.400882724
quic-go-dockerhalf-clientB-1,10:52:39.912368138,10:52:40.131600123
quic-go-dockerhalf-clientA-1,10:52:38.126440749,00:00:00
quic-go-dockerhalf-clientA-1,10:54:50.13481555,10:54:52.539642336
quic-go-dockerhalf-clientB-1,10:54:52.285387898,00:00:00
quic-go-dockerhalf-clientA-1,10:57:01.311381286,00:00:00
quic-go-dockerhalf-clientB-1,10:57:03.173851199,10:57:03.382549252
quic-go-dockerhalf-clientA-1,10:59:13.405158346,00:00:00
quic-go-dockerhalf-clientB-1,10:59:15.318726406,10:59:15.530648768
quic-go-dockerhalf-clientB-1,11:01:26.378082981,00:00:00
quic-go-dockerhalf-clientA-1,11:01:24.964512528,11:01:26.586248209
quic-go-dockerhalf-clientB-1,11:03:38.3022742,00:00:00
quic-go-dockerhalf-clientA-1,11:03:36.658370767,11:03:38.510116056
quic-go-dockerhalf-clientA-1,11:05:48.637115612,00:00:00
quic-go-dockerhalf-clientB-1,11:05:50.487784683,11:05:50.697305459
quic-go-dockerhalf-clientA-1,11:08:00.772034645,11:08:02.816408835
quic-go-dockerhalf-clientB-1,11:08:02.608761224,00:00:00
quic-go-dockerhalf-clientA-1,11:10:12.523153818,00:00:00
quic-go-dockerhalf-clientB-1,11:10:14.096823409,11:10:14.30987381
quic-go-dockerhalf-clientA-1,11:12:24.135401472,00:00:00
quic-go-dockerhalf-clientB-1,11:12:25.578815069,11:12:25.791132682
quic-go-dockerhalf-clientB-1,11:14:38.2788225,11:14:38.486256694
quic-go-dockerhalf-clientA-1,11:14:36.539073305,00:00:00
quic-go-dockerhalf-clientA-1,11:16:48.201624546,00:00:00
quic-go-dockerhalf-clientB-1,11:16:50.058215064,11:16:50.265911056
quic-go-dockerhalf-clientA-1,11:18:59.444314596,11:19:01.628135967
quic-go-dockerhalf-clientB-1,11:19:01.407094683,00:00:00
quic-go-dockerhalf-clientA-1,11:21:10.888392711,00:00:00
quic-go-dockerhalf-clientB-1,11:21:12.44992765,11:21:12.660561594
quic-go-dockerhalf-clientB-1,11:23:24.986752813,11:23:25.213074793
quic-go-dockerhalf-clientA-1,11:23:23.222267288,00:00:00
quic-go-dockerhalf-clientA-1,11:25:34.939024863,11:25:36.577587446
quic-go-dockerhalf-clientB-1,11:25:36.35399367,00:00:00
quic-go-dockerhalf-clientA-1,11:27:46.604056475,11:27:48.821278847
quic-go-dockerhalf-clientB-1,11:27:48.600495073,00:00:00
quic-go-dockerhalf-clientB-1,11:29:59.616540915,00:00:00
quic-go-dockerhalf-clientA-1,11:29:58.366464019,11:29:59.833216877
quic-go-dockerhalf-clientA-1,11:32:10.315312177,11:32:12.380215532
quic-go-dockerhalf-clientB-1,11:32:12.168636125,11:32:12.38322769
quic-go-dockerhalf-clientB-1,11:34:23.721605131,11:34:23.936960425
quic-go-dockerhalf-clientA-1,11:34:21.788752368,00:00:00
quic-go-dockerhalf-clientA-1,11:36:34.006964993,11:36:36.18351962
quic-go-dockerhalf-clientB-1,11:36:35.969130945,00:00:00
quic-go-dockerhalf-clientB-1,11:38:47.482208653,00:00:00
quic-go-dockerhalf-clientA-1,11:38:45.61543108,11:38:47.690114654
quic-go-dockerhalf-clientB-1,11:40:58.879360341,11:40:59.091258069
quic-go-dockerhalf-clientA-1,11:40:57.068143013,00:00:00
quic-go-dockerhalf-clientA-1,11:43:08.147081647,00:00:00
quic-go-dockerhalf-clientB-1,11:43:09.95649268,11:43:10.169112327
quic-go-dockerhalf-clientA-1,11:45:20.599362615,11:45:22.09150175
quic-go-dockerhalf-clientB-1,11:45:21.88297847,00:00:00
quic-go-dockerhalf-clientA-1,11:47:32.159700033,00:00:00
quic-go-dockerhalf-clientB-1,11:47:34.08133948,11:47:34.295546702
quic-go-dockerhalf-clientA-1,11:49:43.986587716,00:00:00
quic-go-dockerhalf-clientB-1,11:49:45.687209602,11:49:45.896293613
quic-go-dockerhalf-clientA-1,11:51:55.66953613,00:00:00
quic-go-dockerhalf-clientB-1,11:51:57.527645498,11:51:57.737310396
quic-go-dockerhalf-clientA-1,11:54:07.973765556,00:00:00
quic-go-dockerhalf-clientB-1,11:54:09.946227052,11:54:10.155225188
quic-go-dockerhalf-clientA-1,11:56:19.886485689,00:00:00
quic-go-dockerhalf-clientB-1,11:56:22.006789959,11:56:22.219789684
quic-go-dockerhalf-clientB-1,11:58:33.459821915,11:58:33.671777252
quic-go-dockerhalf-clientA-1,11:58:31.548528084,00:00:00
quic-go-dockerhalf-clientB-1,12:00:45.269625254,00:00:00
quic-go-dockerhalf-clientA-1,12:00:43.353788681,12:00:45.486636314
quic-go-dockerhalf-clientB-1,12:02:57.252418885,12:02:57.469332017
quic-go-dockerhalf-clientA-1,12:02:55.213522481,00:00:00
quic-go-dockerhalf-clientA-1,12:05:06.756257895,00:00:00
quic-go-dockerhalf-clientB-1,12:05:08.567360451,12:05:08.782968658
quic-go-dockerhalf-clientB-1,12:07:20.405326415,12:07:20.612672971
quic-go-dockerhalf-clientA-1,12:07:18.538389964,00:00:00
quic-go-dockerhalf-clientB-1,12:09:31.731700333,00:00:00
quic-go-dockerhalf-clientA-1,12:09:30.512472043,12:09:31.947127052
quic-go-dockerhalf-clientA-1,12:11:41.808601278,00:00:00
quic-go-dockerhalf-clientB-1,12:11:43.350115105,12:11:43.560980632
quic-go-dockerhalf-clientB-1,12:13:55.190668144,00:00:00
quic-go-dockerhalf-clientA-1,12:13:53.26382972,12:13:55.3994939
quic-go-dockerhalf-clientA-1,12:16:05.462730599,12:16:07.389128638
quic-go-dockerhalf-clientB-1,12:16:07.171654711,00:00:00
quic-go-dockerhalf-clientA-1,12:18:16.935373704,00:00:00
quic-go-dockerhalf-clientB-1,12:18:18.876571562,12:18:19.091195328
quic-go-dockerhalf-clientB-1,12:20:31.32257144,00:00:00
quic-go-dockerhalf-clientA-1,12:20:29.282096838,12:20:31.535301345
quic-go-dockerhalf-clientA-1,12:22:40.340107955,12:22:41.708801709
quic-go-dockerhalf-clientB-1,12:22:41.487695242,00:00:00
quic-go-dockerhalf-clientA-1,12:24:52.47290426,12:24:54.546648384
quic-go-dockerhalf-clientB-1,12:24:54.337865343,00:00:00
quic-go-dockerhalf-clientB-1,12:27:06.122563155,00:00:00
quic-go-dockerhalf-clientA-1,12:27:04.294781124,12:27:06.345179725
quic-go-dockerhalf-clientA-1,12:29:15.716910023,00:00:00
quic-go-dockerhalf-clientB-1,12:29:17.028295255,12:29:17.253188988
quic-go-dockerhalf-clientB-1,12:31:28.95560665,12:31:29.170265198
quic-go-dockerhalf-clientA-1,12:31:27.524042394,12:31:29.168618802
