Container,StartTime,EndTime
quic-go-dockerhalf-clientB-1,05:53:28.891434661,05:53:28.950076001
quic-go-dockerhalf-clientA-1,05:53:27.132525873,00:00:00
quic-go-dockerhalf-clientB-1,05:55:43.002978613,00:00:00
quic-go-dockerhalf-clientA-1,05:55:39.745664286,05:55:43.061999385
quic-go-dockerhalf-clientA-1,05:57:53.47998312,05:57:55.355492357
quic-go-dockerhalf-clientB-1,05:57:55.303854394,00:00:00
quic-go-dockerhalf-clientB-1,06:00:11.443582996,06:00:11.508109565
quic-go-dockerhalf-clientA-1,06:00:08.350328531,00:00:00
quic-go-dockerhalf-clientB-1,06:02:21.15226641,06:02:21.202082872
quic-go-dockerhalf-clientA-1,06:02:18.781450524,00:00:00
quic-go-dockerhalf-clientB-1,06:04:33.846351755,06:04:33.900775036
quic-go-dockerhalf-clientA-1,06:04:31.526170776,00:00:00
quic-go-dockerhalf-clientA-1,06:06:45.817735133,06:06:47.63657937
quic-go-dockerhalf-clientB-1,06:06:47.582851223,00:00:00
quic-go-dockerhalf-clientB-1,06:09:03.76461337,06:09:03.823120576
quic-go-dockerhalf-clientA-1,06:09:01.725906381,00:00:00
quic-go-dockerhalf-clientB-1,06:11:11.497968624,00:00:00
quic-go-dockerhalf-clientA-1,06:11:09.603802079,06:11:11.545425607
quic-go-dockerhalf-clientA-1,06:13:21.451474344,06:13:23.270119757
quic-go-dockerhalf-clientB-1,06:13:23.207039362,00:00:00
quic-go-dockerhalf-clientB-1,06:15:34.60893229,00:00:00
quic-go-dockerhalf-clientA-1,06:15:33.175498799,06:15:34.656387478
quic-go-dockerhalf-clientB-1,06:17:46.191189218,06:17:46.239573151
quic-go-dockerhalf-clientA-1,06:17:44.576317097,00:00:00
quic-go-dockerhalf-clientB-1,06:19:58.015515296,06:19:58.065142966
quic-go-dockerhalf-clientA-1,06:19:55.997092389,00:00:00
quic-go-dockerhalf-clientA-1,06:22:08.133826251,00:00:00
quic-go-dockerhalf-clientB-1,06:22:10.509299248,06:22:10.577820838
quic-go-dockerhalf-clientA-1,06:24:19.980358749,00:00:00
quic-go-dockerhalf-clientB-1,06:24:21.6573734,06:24:21.718504201
quic-go-dockerhalf-clientB-1,06:26:33.896942799,06:26:33.96661345
quic-go-dockerhalf-clientA-1,06:26:31.702483069,00:00:00
quic-go-dockerhalf-clientA-1,06:28:42.847452997,06:28:44.850417954
quic-go-dockerhalf-clientB-1,06:28:44.803082357,00:00:00
quic-go-dockerhalf-clientB-1,06:30:57.546969949,06:30:57.606304087
quic-go-dockerhalf-clientA-1,06:30:55.622134192,00:00:00
quic-go-dockerhalf-clientA-1,06:33:07.968074414,06:33:09.939935661
quic-go-dockerhalf-clientB-1,06:33:09.887419078,06:33:09.940324122
quic-go-dockerhalf-clientB-1,06:35:23.119280297,06:35:23.192379944
quic-go-dockerhalf-clientA-1,06:35:20.742201352,06:35:23.194612284
quic-go-dockerhalf-clientB-1,06:37:35.338257155,06:37:35.387103633
quic-go-dockerhalf-clientA-1,06:37:33.305560487,00:00:00
quic-go-dockerhalf-clientB-1,06:39:47.197449848,00:00:00
quic-go-dockerhalf-clientA-1,06:39:45.349687344,06:39:47.265864524
quic-go-dockerhalf-clientA-1,06:41:56.854042115,06:41:58.474538765
