Container,StartTime,EndTime
go-tcp-dockerfinish-clientA-1,02:21:27.136407968,02:21:29.632064839
go-tcp-dockerfinish-clientB-1,02:21:29.127412273,02:21:29.632082779
go-tcp-dockerfinish-clientA-1,02:23:38.743053914,02:23:41.033517144
go-tcp-dockerfinish-clientB-1,02:23:40.529934519,02:23:40.933070853
go-tcp-dockerfinish-clientB-1,02:25:51.722846979,02:25:52.126645017
go-tcp-dockerfinish-clientA-1,02:25:49.7751657,02:25:52.227021655
go-tcp-dockerfinish-clientB-1,02:28:03.650687611,02:28:04.15530866
go-tcp-dockerfinish-clientA-1,02:28:01.778366434,02:28:04.155308418
go-tcp-dockerfinish-clientB-1,02:30:15.285908904,02:30:15.788219558
go-tcp-dockerfinish-clientA-1,02:30:13.596674395,02:30:15.688063861
go-tcp-dockerfinish-clientB-1,02:32:26.474864031,02:32:26.977999457
go-tcp-dockerfinish-clientA-1,02:32:25.029415026,02:32:26.87772342
go-tcp-dockerfinish-clientA-1,02:34:36.740820505,02:34:38.964392171
go-tcp-dockerfinish-clientB-1,02:34:38.460664134,02:34:38.863867104
go-tcp-dockerfinish-clientB-1,02:36:50.194611364,02:36:50.596814088
go-tcp-dockerfinish-clientA-1,02:36:48.292807417,02:36:50.697602808
go-tcp-dockerfinish-clientA-1,02:39:00.48888433,02:39:02.632152838
go-tcp-dockerfinish-clientB-1,02:39:02.12542928,02:39:02.632279533
go-tcp-dockerfinish-clientA-1,02:41:11.796177927,02:41:14.107064702
go-tcp-dockerfinish-clientB-1,02:41:13.603898011,02:41:14.006815012
go-tcp-dockerfinish-clientA-1,02:43:23.711289988,02:43:25.751171354
go-tcp-dockerfinish-clientB-1,02:43:25.247180311,02:43:25.651165476
go-tcp-dockerfinish-clientA-1,02:45:35.163003797,02:45:37.285038056
go-tcp-dockerfinish-clientB-1,02:45:36.880197966,02:45:37.385349213
go-tcp-dockerfinish-clientA-1,02:47:47.031807054,02:47:49.840455504
go-tcp-dockerfinish-clientB-1,02:47:49.303259609,02:47:49.840512382
go-tcp-dockerfinish-clientB-1,02:49:59.745837137,02:50:00.249037876
go-tcp-dockerfinish-clientA-1,02:49:57.851774751,02:50:00.248975651
go-tcp-dockerfinish-clientA-1,02:52:09.80997464,02:52:12.232744747
go-tcp-dockerfinish-clientB-1,02:52:11.728003965,02:52:12.23274763
go-tcp-dockerfinish-clientB-1,02:54:24.123612582,02:54:24.525634749
go-tcp-dockerfinish-clientA-1,02:54:22.068927953,02:54:24.626160686
