Container,StartTime,EndTime
go-tcp-dockerfinish-clientA-1,11:50:08.699327046,11:50:11.298455585
go-tcp-dockerfinish-clientB-1,11:50:10.793427445,11:50:11.197929844
go-tcp-dockerfinish-clientB-1,11:52:21.187983806,11:52:21.692123022
go-tcp-dockerfinish-clientA-1,11:52:19.520567926,11:52:21.692842385
go-tcp-dockerfinish-clientA-1,11:54:31.090790643,11:54:33.111765233
go-tcp-dockerfinish-clientB-1,11:54:32.608356099,11:54:33.1118415
go-tcp-dockerfinish-clientA-1,11:56:43.014250787,11:56:45.318241605
go-tcp-dockerfinish-clientB-1,11:56:44.814645599,11:56:45.218068459
go-tcp-dockerfinish-clientB-1,11:58:56.144805961,11:58:56.64895025
go-tcp-dockerfinish-clientA-1,11:58:54.311514714,11:58:56.648956283
go-tcp-dockerfinish-clientA-1,12:01:06.017177502,12:01:08.243218595
go-tcp-dockerfinish-clientB-1,12:01:07.738887407,12:01:08.14262932
go-tcp-dockerfinish-clientA-1,12:03:18.273637975,12:03:20.531286635
go-tcp-dockerfinish-clientB-1,12:03:20.027553782,12:03:20.531252108
go-tcp-dockerfinish-clientA-1,12:05:29.666235487,12:05:32.234764951
go-tcp-dockerfinish-clientB-1,12:05:31.630104916,12:05:32.134135607
go-tcp-dockerfinish-clientA-1,12:07:41.985541294,12:07:44.117793281
go-tcp-dockerfinish-clientB-1,12:07:43.612866601,12:07:44.017569835
go-tcp-dockerfinish-clientA-1,12:09:54.080320248,12:09:57.086491174
go-tcp-dockerfinish-clientB-1,12:09:56.623505431,12:09:57.186447396
go-tcp-dockerfinish-clientB-1,12:12:06.928917896,12:12:07.436615035
go-tcp-dockerfinish-clientA-1,12:12:05.365077078,12:12:07.436578927
go-tcp-dockerfinish-clientA-1,12:14:22.677405265,12:14:30.781818411
go-tcp-dockerfinish-clientB-1,12:14:30.273927212,12:14:30.681225882
go-tcp-dockerfinish-clientA-1,12:16:31.162000624,12:16:33.493584379
go-tcp-dockerfinish-clientB-1,12:16:33.076792137,12:16:33.594465251
go-tcp-dockerfinish-clientB-1,12:18:44.399766603,12:18:44.803114459
go-tcp-dockerfinish-clientA-1,12:18:42.384786636,12:18:44.903802133
go-tcp-dockerfinish-clientB-1,12:20:56.913286433,12:20:57.417838969
go-tcp-dockerfinish-clientA-1,12:20:54.878734834,12:20:57.417944204
go-tcp-dockerfinish-clientA-1,12:23:06.803770769,12:23:09.893276631
go-tcp-dockerfinish-clientB-1,12:23:08.865356269,12:23:09.993731006
go-tcp-dockerfinish-clientA-1,12:25:18.839716224,12:25:22.892548152
go-tcp-dockerfinish-clientB-1,12:25:22.389245775,12:25:22.892497063
go-tcp-dockerfinish-clientA-1,12:27:30.849339396,12:27:33.318182412
go-tcp-dockerfinish-clientB-1,12:27:32.814027667,12:27:33.318240588
go-tcp-dockerfinish-clientA-1,12:29:43.730404212,12:29:46.408603722
go-tcp-dockerfinish-clientB-1,12:29:45.904712628,12:29:46.408668835
go-tcp-dockerfinish-clientB-1,12:31:56.178151831,12:31:56.682287708
go-tcp-dockerfinish-clientA-1,12:31:54.372533969,12:31:56.681704119
go-tcp-dockerfinish-clientB-1,12:34:11.716713105,12:34:12.219649424
go-tcp-dockerfinish-clientA-1,12:34:08.923859633,12:34:12.219655572
go-tcp-dockerfinish-clientB-1,12:36:20.786407574,12:36:21.196474802
go-tcp-dockerfinish-clientB-1,12:36:20.786407574,12:36:21.297625635
go-tcp-dockerfinish-clientA-1,12:38:31.64603794,12:38:34.627098127
go-tcp-dockerfinish-clientB-1,12:38:34.124418548,12:38:34.627087034
go-tcp-dockerfinish-clientB-1,12:40:45.08558029,12:40:45.51863069
go-tcp-dockerfinish-clientA-1,12:40:43.472445215,12:40:45.619051593
go-tcp-dockerfinish-clientB-1,12:42:56.684048766,12:42:57.189745944
go-tcp-dockerfinish-clientA-1,12:42:54.889373056,12:42:57.08929684
